Date,Oil,Banks,Txtls,Toys,Rtail,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
1977-10-01,-3.58,-5.97,-3.71,-10.15,-2.95,-4.39,1.41,1.62,-0.08,-0.46,0.49,-0.11
1977-11-01,3.45,5.23,6.92,6.6,5.22,4.02,3.6,0.23,-0.08,0.68,0.5,2.14
1977-12-01,1.97,-1.87,-1.06,-0.95,-2.31,0.27,1.61,-0.29,0.93,-0.66,0.49,1.6
1978-01-01,-6.96,-5.67,-1.11,-3.01,-6.86,-5.99,2.76,3.38,-1.79,1.56,0.49,-0.57
1978-02-01,-1.16,-1.41,-0.03,-1.23,-1.34,-1.39,3.7,0.81,0.3,1.05,0.46,1.96
1978-03-01,2.21,5.48,3.3,8.62,1.69,2.85,3.65,1.15,-0.55,2.0,0.53,1.45
1978-04-01,6.59,10.09,5.55,8.79,11.57,7.87,-0.32,-3.54,2.88,-1.27,0.54,0.49
1978-05-01,0.94,1.21,3.62,7.15,-0.33,1.76,4.54,-0.55,0.2,0.29,0.51,2.76
1978-06-01,-3.79,-0.93,-1.2,-2.31,-2.2,-1.69,1.64,0.6,-1.41,-0.12,0.54,2.79
1978-07-01,3.36,5.48,3.6,7.23,5.24,5.12,0.17,-1.0,1.47,-0.73,0.56,4.19
1978-08-01,5.24,4.84,10.52,2.8,5.48,3.79,4.93,-0.66,1.57,0.5,0.56,3.0
1978-09-01,4.84,-0.08,2.65,-2.58,-2.36,-1.45,-0.38,1.88,-0.69,1.57,0.62,-3.19
1978-10-01,-10.49,-10.38,-18.56,-17.14,-12.96,-11.91,-10.04,1.26,0.17,1.14,0.68,-8.47
1978-11-01,6.17,-0.19,4.36,0.44,1.97,2.72,2.9,-2.08,1.09,-1.19,0.7,5.45
1978-12-01,2.89,0.73,-1.41,-0.81,-1.58,0.88,1.01,-2.14,2.01,-1.47,0.78,3.02
1979-01-01,3.0,2.97,8.19,6.26,6.34,4.22,3.74,2.19,-2.4,1.58,0.77,-1.42
1979-02-01,0.61,-4.13,-0.02,-7.44,-4.31,-3.56,0.53,1.17,-1.11,0.96,0.73,-0.99
1979-03-01,9.18,6.05,7.92,8.45,5.8,5.67,3.17,-0.68,0.54,0.29,0.81,2.91
1979-04-01,4.51,2.03,1.38,7.14,0.81,-0.07,2.4,1.12,1.14,0.24,0.8,0.88
1979-05-01,-2.59,1.05,-1.58,0.55,-2.75,-2.21,0.18,1.32,-1.56,-0.31,0.82,-0.58
1979-06-01,9.19,9.04,3.73,3.45,2.47,3.84,0.94,1.42,-1.58,-0.56,0.81,0.76
1979-07-01,1.65,2.73,0.85,1.3,0.97,0.83,1.27,1.79,-0.44,0.52,0.77,-1.07
1979-08-01,8.0,5.39,4.12,9.0,9.24,5.54,1.85,-1.58,1.5,-1.46,0.77,-0.29
1979-09-01,5.97,-2.6,-2.41,1.56,-2.01,-0.83,-0.28,-0.94,0.84,0.5,0.83,5.28
1979-10-01,-2.36,-10.91,-9.26,-9.6,-8.6,-8.1,-3.49,-1.83,0.96,0.14,0.87,2.06
1979-11-01,8.81,3.98,3.94,2.35,3.28,5.23,2.51,-3.21,-0.03,-1.83,0.99,8.06
1979-12-01,2.45,2.03,7.99,4.9,1.14,1.78,4.27,-2.13,-0.67,-1.01,0.95,4.73
1980-01-01,14.13,-2.04,4.88,10.75,-0.45,5.5,1.88,1.85,-1.84,1.89,0.8,7.46
1980-02-01,13.18,-7.35,-1.15,-2.27,-5.52,-1.23,-1.62,0.59,-0.95,2.92,0.89,7.91
1980-03-01,-17.88,-4.38,-14.52,-11.51,-7.84,-12.89,-6.97,-0.96,1.82,-1.05,1.21,-9.59
1980-04-01,6.92,8.62,4.93,-4.03,4.81,3.96,1.05,1.03,-2.18,0.34,1.26,-0.5
1980-05-01,4.01,6.51,7.25,5.91,9.58,5.26,2.0,0.38,0.43,-0.63,0.81,-1.18
1980-06-01,5.83,4.94,1.81,2.71,2.45,2.97,1.46,-0.8,-0.2,-0.81,0.61,1.58
1980-07-01,1.96,1.61,11.48,12.51,10.95,6.51,3.74,-6.29,4.06,-2.44,0.53,0.32
1980-08-01,3.7,-0.5,4.92,7.57,0.25,1.75,4.23,-2.46,2.05,-0.73,0.64,3.08
1980-09-01,6.52,-1.13,-0.1,7.2,-0.73,2.19,0.63,-4.61,1.9,-2.86,0.75,5.44
1980-10-01,7.84,-0.99,1.82,3.73,-1.8,1.04,2.21,-2.93,1.77,-1.43,0.95,7.14
1980-11-01,24.4,2.71,-1.7,14.7,0.61,9.6,-3.27,-8.11,4.26,-5.52,0.96,15.19
1980-12-01,-10.6,9.77,-2.7,-8.6,0.3,-4.46,-0.28,2.8,-1.27,1.27,1.31,-6.69
1981-01-01,-10.18,-0.86,7.25,-8.54,0.42,-5.06,3.3,6.74,-3.38,4.27,1.04,-7.9
1981-02-01,-0.31,2.42,1.19,0.71,3.27,0.61,-0.65,0.97,0.26,2.06,1.07,-1.38
1981-03-01,-2.12,2.7,4.8,12.73,13.67,3.66,2.85,0.61,-2.27,-0.56,1.21,0.83
1981-04-01,-7.81,0.37,10.66,4.54,4.06,-2.16,4.72,2.28,0.81,1.54,1.08,-1.08
1981-05-01,-4.0,5.24,0.64,5.81,2.61,0.13,2.36,-0.43,0.47,-1.78,1.15,3.55
1981-06-01,4.75,2.68,-0.33,-9.58,-1.17,-2.34,-0.93,5.14,-1.29,2.69,1.35,-5.69
1981-07-01,7.93,-3.72,-3.0,-6.59,-2.84,-1.55,-1.95,-0.61,1.08,-2.66,1.24,-2.45
1981-08-01,-6.27,-5.37,-6.32,-3.16,-6.14,-7.02,-1.82,4.71,-0.31,1.38,1.28,-1.09
1981-09-01,-12.34,-1.0,-2.24,-2.07,-2.75,-7.2,-2.46,5.11,0.08,2.53,1.24,2.13
1981-10-01,9.56,5.92,5.86,11.28,5.57,4.92,2.28,-4.09,3.12,-2.79,1.21,3.93
1981-11-01,6.87,5.07,0.28,-3.85,1.16,3.4,-1.58,1.91,0.14,1.0,1.07,-0.2
1981-12-01,-6.42,-5.46,1.07,-0.31,-1.71,-3.63,1.18,0.79,0.21,2.45,0.87,1.27
1982-01-01,-8.48,-1.02,2.28,-0.35,1.21,-3.23,-1.1,3.19,-1.43,1.95,0.8,1.76
1982-02-01,-11.18,-2.17,-4.43,-8.84,-0.58,-5.86,0.4,6.09,-3.55,4.57,0.92,4.87
1982-03-01,-3.38,-0.95,0.44,6.14,5.03,-1.82,0.02,3.76,-1.28,2.37,0.98,2.91
1982-04-01,4.33,3.69,10.22,7.71,5.95,3.24,1.21,-3.08,1.5,-0.05,1.13,-0.46
1982-05-01,2.48,-7.31,-2.92,-6.64,-2.64,-3.93,0.41,1.78,0.96,-0.12,1.06,2.51
1982-06-01,-6.27,-2.15,-3.08,-1.1,3.43,-3.08,-0.51,1.56,0.09,2.53,0.96,4.88
1982-07-01,-8.09,-3.77,1.56,4.61,0.57,-3.2,1.01,0.07,1.0,1.44,1.05,4.4
