,Period,Industry,Effect,Other mean (%),Effect mean (%),Difference (%),t-stat,p-value
176,1963-1977,Banks,Dec,0.0129,0.0721,0.0593,1.1339,0.2568
177,1963-1977,Txtls,Dec,0.0253,0.0661,0.0408,0.8242,0.4098
178,1963-1977,Toys,Dec,0.0241,-0.0511,-0.0752,-0.9022,0.3669
179,1963-1977,Rtail,Dec,0.0292,-0.0009,-0.0301,-0.6438,0.5197
180,1978-2002,Oil,Jan,0.0594,0.0288,-0.0306,-0.5041,0.6142
181,1978-2002,Banks,Jan,0.0611,0.1148,0.0537,1.0103,0.3123
182,1978-2002,Txtls,Jan,0.0446,0.1068,0.0622,1.3553,0.1753
183,1978-2002,Toys,Jan,0.045,0.1261,0.0811,1.211,0.2259
184,1978-2002,Rtail,Jan,0.0621,0.0761,0.0139,0.2544,0.7992
185,1978-2002,Oil,Feb,0.0569,0.0568,-0.0,-0.0005,0.9996
186,1978-2002,Banks,Feb,0.0661,0.059,-0.0071,-0.1428,0.8864
187,1978-2002,Txtls,Feb,0.0427,0.1361,0.0934,2.0322,0.0421
188,1978-2002,Toys,Feb,0.0452,0.1311,0.0859,1.2912,0.1966
189,1978-2002,Rtail,Feb,0.0594,0.1104,0.0509,0.9273,0.3538
190,1978-2002,Oil,Mar,0.0504,0.1254,0.075,1.2808,0.2003
191,1978-2002,Banks,Mar,0.0633,0.0898,0.0265,0.5071,0.6121
192,1978-2002,Txtls,Mar,0.0479,0.0699,0.022,0.4981,0.6184
193,1978-2002,Toys,Mar,0.0473,0.0981,0.0507,0.8867,0.3753
194,1978-2002,Rtail,Mar,0.0539,0.1625,0.1086,2.1452,0.0319
195,1978-2002,Oil,Apr,0.0476,0.1605,0.1129,1.9665,0.0492
196,1978-2002,Banks,Apr,0.0606,0.1214,0.0608,1.13,0.2585
197,1978-2002,Txtls,Apr,0.0408,0.1515,0.1107,2.3116,0.0208
198,1978-2002,Toys,Apr,0.0448,0.1294,0.0846,1.3003,0.1935
199,1978-2002,Rtail,Apr,0.0637,0.0583,-0.0055,-0.0983,0.9217
200,1978-2002,Oil,May,0.0556,0.0703,0.0146,0.3005,0.7638
201,1978-2002,Banks,May,0.0618,0.1062,0.0444,0.9829,0.3256
202,1978-2002,Txtls,May,0.0472,0.0786,0.0315,0.7661,0.4436
203,1978-2002,Toys,May,0.044,0.1358,0.0917,1.6633,0.0963
204,1978-2002,Rtail,May,0.0582,0.1191,0.0609,1.3162,0.1881
205,1978-2002,Oil,Jun,0.0645,-0.0257,-0.0902,-1.8666,0.062
206,1978-2002,Banks,Jun,0.0669,0.0513,-0.0156,-0.3322,0.7397
207,1978-2002,Txtls,Jun,0.0567,-0.0244,-0.0811,-1.9763,0.0481
208,1978-2002,Toys,Jun,0.0552,0.0147,-0.0405,-0.6903,0.49
209,1978-2002,Rtail,Jun,0.0615,0.0823,0.0208,0.4611,0.6447
210,1978-2002,Oil,Jul,0.0605,0.0165,-0.044,-0.7963,0.4259
211,1978-2002,Banks,Jul,0.0681,0.0374,-0.0307,-0.6356,0.5251
212,1978-2002,Txtls,Jul,0.0536,0.0086,-0.045,-0.8504,0.3951
213,1978-2002,Toys,Jul,0.06,-0.0385,-0.0985,-1.5185,0.1289
214,1978-2002,Rtail,Jul,0.0673,0.0198,-0.0475,-0.9113,0.3621
215,1978-2002,Oil,Aug,0.0503,0.125,0.0747,1.425,0.1542
216,1978-2002,Banks,Aug,0.0693,0.0263,-0.043,-0.8378,0.4021
217,1978-2002,Txtls,Aug,0.0553,-0.0075,-0.0629,-1.3001,0.1936
218,1978-2002,Toys,Aug,0.0515,0.054,0.0025,0.0391,0.9688
219,1978-2002,Rtail,Aug,0.0695,-0.0013,-0.0708,-1.2407,0.2147
220,1978-2002,Oil,Sep,0.0607,0.0125,-0.0482,-0.8093,0.4183
221,1978-2002,Banks,Sep,0.0733,-0.0235,-0.0967,-1.6756,0.0938
222,1978-2002,Txtls,Sep,0.0652,-0.128,-0.1933,-3.0035,0.0027
223,1978-2002,Toys,Sep,0.0637,-0.0857,-0.1493,-2.0834,0.0372
224,1978-2002,Rtail,Sep,0.0735,-0.055,-0.1285,-2.2107,0.0271
225,1978-2002,Oil,Oct,0.0611,0.0131,-0.0479,-0.638,0.5235
226,1978-2002,Banks,Oct,0.0715,0.0038,-0.0677,-0.9063,0.3648
227,1978-2002,Txtls,Oct,0.062,-0.0768,-0.1388,-1.8748,0.0608
228,1978-2002,Toys,Oct,0.0567,0.0001,-0.0566,-0.6057,0.5447
229,1978-2002,Rtail,Oct,0.0694,0.0,-0.0694,-0.8746,0.3818
230,1978-2002,Oil,Nov,0.0579,0.0449,-0.013,-0.2194,0.8264
231,1978-2002,Banks,Nov,0.0632,0.0925,0.0293,0.5626,0.5737
232,1978-2002,Txtls,Nov,0.0432,0.1247,0.0815,1.6495,0.099
233,1978-2002,Toys,Nov,0.0465,0.1116,0.0652,0.9986,0.318
234,1978-2002,Rtail,Nov,0.0549,0.1592,0.1043,1.9275,0.0539
235,1978-2002,Oil,Dec,0.0573,0.0518,-0.0055,-0.106,0.9156
236,1978-2002,Banks,Dec,0.0615,0.1097,0.0482,0.9389,0.3478
237,1978-2002,Txtls,Dec,0.0386,0.173,0.1344,2.7618,0.0057
238,1978-2002,Toys,Dec,0.061,-0.0498,-0.1107,-1.6398,0.101
239,1978-2002,Rtail,Dec,0.0661,0.0327,-0.0334,-0.6494,0.5161
240,2003-present,Oil,Jan,0.0536,0.0664,0.0128,0.1675,0.867
241,2003-present,Banks,Jan,0.0513,-0.0041,-0.0554,-0.6282,0.5299
242,2003-present,Txtls,Jan,0.0458,-0.008,-0.0538,-0.6597,0.5094
243,2003-present,Toys,Jan,0.0331,0.0095,-0.0236,-0.2865,0.7745
244,2003-present,Rtail,Jan,0.0571,0.047,-0.0102,-0.1898,0.8495
245,2003-present,Oil,Feb,0.051,0.0976,0.0466,0.6038,0.546
246,2003-present,Banks,Feb,0.0516,-0.0109,-0.0625,-0.7666,0.4433
247,2003-present,Txtls,Feb,0.0395,0.0634,0.0239,0.2604,0.7945
248,2003-present,Toys,Feb,0.0271,0.0796,0.0525,0.6157,0.5381
249,2003-present,Rtail,Feb,0.0599,0.0136,-0.0462,-0.7852,0.4324
250,2003-present,Oil,Mar,0.0533,0.068,0.0146,0.1437,0.8858
251,2003-present,Banks,Mar,0.0519,-0.0065,-0.0585,-0.5063,0.6126
252,2003-present,Txtls,Mar,0.0492,-0.0387,-0.0879,-0.7389,0.46
253,2003-present,Toys,Mar,0.0383,-0.0418,-0.0801,-0.8483,0.3962
254,2003-present,Rtail,Mar,0.0527,0.0928,0.0401,0.5988,0.5493
255,2003-present,Oil,Apr,0.0471,0.1366,0.0895,1.0641,0.2873
256,2003-present,Banks,Apr,0.0381,0.1421,0.104,1.1312,0.258
257,2003-present,Txtls,Apr,0.0252,0.2189,0.1937,1.7492,0.0803
258,2003-present,Toys,Apr,0.0261,0.0863,0.0601,0.6701,0.5028
259,2003-present,Rtail,Apr,0.0499,0.1262,0.0763,1.2624,0.2068
260,2003-present,Oil,May,0.06,-0.0024,-0.0624,-0.8247,0.4096
261,2003-present,Banks,May,0.0486,0.0275,-0.0211,-0.2717,0.7859
262,2003-present,Txtls,May,0.0419,0.0359,-0.006,-0.0661,0.9473
263,2003-present,Toys,May,0.0328,0.0138,-0.019,-0.2453,0.8063
264,2003-present,Rtail,May,0.0603,0.0131,-0.0472,-0.9032,0.3664
265,2003-present,Oil,Jun,0.0569,0.0307,-0.0261,-0.3248,0.7453
266,2003-present,Banks,Jun,0.054,-0.0305,-0.0845,-1.2136,0.2249
267,2003-present,Txtls,Jun,0.0452,0.0012,-0.0439,-0.4944,0.621
268,2003-present,Toys,Jun,0.0288,0.0565,0.0277,0.3828,0.7019
269,2003-present,Rtail,Jun,0.0601,0.0156,-0.0445,-0.8744,0.3819
270,2003-present,Oil,Jul,0.0547,0.0539,-0.0009,-0.0123,0.9902
271,2003-present,Banks,Jul,0.0375,0.1457,0.1082,1.4321,0.1521
272,2003-present,Txtls,Jul,0.0358,0.1014,0.0656,0.6372,0.524
273,2003-present,Toys,Jul,0.0236,0.1119,0.0882,1.1523,0.2492
274,2003-present,Rtail,Jul,0.0486,0.1386,0.09,1.7679,0.0771
275,2003-present,Oil,Aug,0.0619,-0.0229,-0.0849,-1.1571,0.2472
276,2003-present,Banks,Aug,0.0501,0.011,-0.0391,-0.526,0.5989
277,2003-present,Txtls,Aug,0.0388,0.0694,0.0306,0.3619,0.7174
278,2003-present,Toys,Aug,0.0338,0.0029,-0.0309,-0.4251,0.6708
279,2003-present,Rtail,Aug,0.0574,0.0444,-0.013,-0.2255,0.8216
280,2003-present,Oil,Sep,0.0577,0.0188,-0.0389,-0.4707,0.6378
281,2003-present,Banks,Sep,0.0514,-0.0071,-0.0585,-0.625,0.5319
282,2003-present,Txtls,Sep,0.0533,-0.0972,-0.1505,-1.8359,0.0664
283,2003-present,Toys,Sep,0.0398,-0.0686,-0.1084,-1.5009,0.1334
284,2003-present,Rtail,Sep,0.0621,-0.0106,-0.0726,-1.2607,0.2074
285,2003-present,Oil,Oct,0.0548,0.0533,-0.0015,-0.0142,0.9887
286,2003-present,Banks,Oct,0.0433,0.0841,0.0408,0.478,0.6326
287,2003-present,Txtls,Oct,0.0498,-0.0491,-0.099,-0.9725,0.3308
288,2003-present,Toys,Oct,0.0299,0.0447,0.0148,0.1754,0.8608
289,2003-present,Rtail,Oct,0.0565,0.0537,-0.0028,-0.0425,0.9661
290,2003-present,Oil,Nov,0.048,0.1323,0.0844,0.8373,0.4024
291,2003-present,Banks,Nov,0.0386,0.1416,0.1029,1.0666,0.2861
292,2003-present,Txtls,Nov,0.0349,0.1172,0.0823,0.8292,0.407
293,2003-present,Toys,Nov,0.0232,0.1236,0.1004,1.082,0.2792
294,2003-present,Rtail,Nov,0.0493,0.1377,0.0884,1.3659,0.172
295,2003-present,Oil,Dec,0.0567,0.0317,-0.025,-0.3356,0.7372
296,2003-present,Banks,Dec,0.0448,0.0692,0.0244,0.3087,0.7576
297,2003-present,Txtls,Dec,0.0374,0.0862,0.0488,0.5965,0.5508
298,2003-present,Toys,Dec,0.0375,-0.0402,-0.0777,-1.0758,0.282
299,2003-present,Rtail,Dec,0.0615,-0.0019,-0.0634,-1.2265,0.22
